Apps,Platform,Category,# Actions,# Activities,# Screens,Content Labeling,Implementation,Touch target size,Low contrast,Unnecessary text,Not readable,Items have the same description,Items share same location,Text Scaling,APK Name,Language
NW Bible,React Native,LIFESTYLE,125,2,45,2,10,2,4,true,false,true,false,true,1AC8A8ACAB38E37AD4123517537EA90756715523A6645D031B04F52EC802A035,ing
Portico,React Native,LIFESTYLE,84,6,45,3,0,2,0,false,false,true,false,true,2E1D6E5034DFA098C3F9C1F7FA5C74619663856FCEFDEEF4A24E2F0E0602BA4F,ing
The Mesozoic,Ionic,BOOKS_AND_REFERENCE,98,2,46,0,3,0,0,false,false,false,false,true,1A35A4ED071DDAEF1A6E250540F19BB380B21AF97BB30887EC73A34694D184FC,ing
Life Point,React Native,EDUCATION,153,6,46,4,11,3,13,true,true,true,false,true,1A6C57D18F65AD42BC50E30F4F6F6449E675C9AF1D7FF9862AE5CAE1E9BB4B46,ing
Oasis City,React Native,LIFESTYLE,105,5,46,3,13,3,14,false,true,true,false,true,1A543160632A850FF1DDC4FD989ADA3FFFD12B0330D4778596643D010A603E39,ing
NWSWI,React Native,LIFESTYLE,105,4,47,5,17,5,12,true,true,true,false,true,0B28DC5C984A32F58560105D4CE5F7DE69ABFEC00057890A9E9F1C01017A9C91,ing
The Rock,React Native,LIFESTYLE,109,7,49,2,0,7,1,false,false,true,false,true,2BAB4BC32323BC7D76DDCA08925005C192BD49A4341D3D8D3401FA8CCED3089A,ing
Antioch FL,React Native,LIFESTYLE,72,4,49,2,1,3,1,false,false,true,false,true,2CBF7F65870EFB0C3A1624A79F1575E24A0155A6BC0DAFBF9E0A42FACB651916,ing
FBMaryville,React Native,EDUCATION,160,8,50,8,16,10,22,false,true,true,true,true,1AC22CF00C3775F59C458353A2FF49E6008F337D77A8EEB9E6F6D7220BF6B43A,ing
Venture,React Native,LIFESTYLE,100,3,50,5,17,3,9,true,true,true,false,true,1E98814073A43FAD5B5983C8960D8858D3DB513317CD1E8BC10125F2C54B9578,ing
ICCM,React Native,LIFESTYLE,94,8,50,4,0,3,0,false,false,true,false,true,2D3A47BFB00A4A83846DA3CF6CC8C223019B2A28F9CFA03E4023C2C850972002,ing
Bible,React Native,EDUCATION,172,8,51,4,8,7,13,false,true,true,false,true,1C54CA938C72FDCB63A5F67B3DDC6CB46AEE7CCF97C05719FF14A3C296EA92AD,ing
Bible,React Native,BOOKS_AND_REFERENCE,172,5,52,3,7,2,13,false,true,true,false,true,EDCF06CB821C9837852906416A52CC98A5C5CBFD9E50D697BE55915D6E415A9D,ing
Life Church,React Native,EDUCATION,164,6,53,3,16,4,4,true,true,true,false,true,0A785BF948DDE10FDB90FC48781D76007D767E2537A4EC9C4952B906738F11CF,ing
BSBL Church,React Native,LIFESTYLE,164,7,53,5,8,7,12,false,true,true,false,true,1A35A4ED071DDAEF1A6E250540F19BB380B21AF97BB30887EC73A34694D184FC,ing
Immune System,Ionic,BOOKS_AND_REFERENCE,124,1,54,0,0,0,0,false,false,false,false,false,0CAD275A4448EA60BD3CBB1C621E17D4ECFB2FA21A3761579A1AD5C97A662C99,ing
ARCC,React Native,LIFESTYLE,158,6,55,8,21,9,19,true,true,true,true,true,0C0ED0BD5DE6218F8DC6502E186E11624B97E1C521734BC966D85B7F89ACFEDF,ing
KTT,React Native,EDUCATION,117,6,57,6,19,11,20,false,true,true,true,true,0FF445D9C13FD662F2D0EC71FFDEB4EE9458B96718BFE103430B4DDA7B5208D6,ing
BP,React Native,EDUCATION,150,4,58,4,15,1,10,true,true,true,false,true,1D0D7F6FB55473440A51C2000AC978DE0CE6A8223848AD7DCB35ABCCAC4BE7FC,ing
