Apps,Platform,Category,# Actions,# Activities,# Screens,Content labeling,Implementation,Touch target size,Low contrast,Unnecessary text,Not readable,Items have the same description,Items share same location,Text Scaling,APK Name,Language,Considered
BlackOut,Ionic,SPORTS,117,1,19,0,0,0,1,false,false,false,false,false,1C7B01CECEFC6A4B818954EA575E661C44F0F7A05ED4DBAB37B29809302807D6,ing,yes
Redemption,React Native,LIFESTYLE,35,3,20,6,18,3,14,true,true,true,true,true,0A4F728A34636AE4F6AF80F7C562A59C4497399CDFBC85490C9387882703A93A,ing,yes
Hygiene,Ionic,BOOKS_AND_REFERENCE,53,2,21,0,3,0,0,false,false,false,false,false,2D0143A2D430CA19E9792C009C9E2395A6EB6F1CFE1DBBD563790A92AB3E4F53,ing,yes
Anatomy of arthropods,Ionic,BOOKS_AND_REFERENCE,65,2,23,0,0,0,0,false,false,false,false,false,1B898D8F6000A79AD19397D02365AE8597DF69AE87D64230B5CAD3180E459ED0,ing,yes
Programming languages,Ionic,BOOKS_AND_REFERENCE,43,2,23,0,0,0,0,false,false,false,false,false,0DF407D8FA1789EACA18BF03AD361007236665FBCA5E70DD275336F14EA7122E,ing,yes
CCLKN,React Native,EDUCATION,43,6,23,6,9,4,9,false,true,true,false,true,0C1A16BE85F79ACF12B76B8D8FEA95A194D5ECA85C21628FE302B684C82012E3,ing,yes
Catholic archbishops,Ionic,BOOKS_AND_REFERENCE,65,1,24,0,0,0,0,false,false,false,false,false,2B73ACD6FD2DF35F786CC3909FABB9DAFDF255A0300543231068EACFE498BBAE,ing,yes
MRC,React Native,LIFESTYLE,126,3,24,6,12,3,10,false,true,true,true,true,01B3F136F81F564C4401E21C91DDFD1169B668AEFB47D77C713FA0A938FB261F,ing,yes
Genetics,Ionic,BOOKS_AND_REFERENCE,66,1,25,0,0,0,0,false,false,false,false,false,2E4D99BC90A06A631EEB916DC1C3BACF7E3C446B1EDA5EBD5BA8A91480006650,ing,yes
Crow River,React Native,EDUCATION,87,7,25,3,5,3,11,false,true,true,false,true,0B1754F4B1188B6BC21B410F08D11FFEECB83D621979BC697A1074DACEBEEAB9,ing,yes
NJerusalem,React Native,EDUCATION,56,4,26,8,25,6,15,true,true,true,false,true,01C91C40ACBC8B440394B04085DC6803C1652956E79E29101856ACD41E444A8A,ing,yes
Confectionery,Ionic,BOOKS_AND_REFERENCE,54,1,28,0,0,0,0,false,false,false,false,false,2D638BDF1EEE4A560C52A65CD7B0CF17B75E9A5821301609B19609355990F4B1,ing,yes
Quantum mechanics,Ionic,BOOKS_AND_REFERENCE,54,1,28,0,0,0,0,false,false,false,false,false,0B68BF6D339266B5659DE6F6F9EB4DE2C4368E0B8D609915D346CBE142D835EF,ing,yes
Lebanon CPC,React Native,EDUCATION,69,6,28,3,10,8,18,false,true,true,false,true,0AAAF90E7F13167B2A574863F444CB49955CD92C34F18D369FA78AFAABF35299,ing,yes
Architectural Styles,Ionic,BOOKS_AND_REFERENCE,65,2,29,0,0,0,0,false,false,false,false,false,2C098AD9B9E7C0E35A0B9E389746F955919030DDF73248A00DF4EDB4F20A2164,ing,yes
SRCM,React Native,LIFESTYLE,45,7,29,4,2,2,0,false,false,true,false,true,2CC2848C5C584A5E801EF9AE44BE9233C25BE9AD417E400856717199B4637B95,ing,yes
Beekeeping,Ionic,BOOKS_AND_REFERENCE,82,2,30,0,3,2,2,false,false,false,false,true,3F63B52A982E442D6C697DBB04E8249F2D02B8A52C898AAF895A9F79B2F99D18,ing,yes
UAA Mobile,Ionic,EDUCATION,112,1,30,2,1,3,0,true,false,false,false,true,FF49EDF4C9C4C471117EFB199638E34A4F444CF41ED0E4C1F18C7153A9EF63A0,ing,yes
MyOasis,React Native,EDUCATION,55,2,31,5,10,3,7,true,true,true,true,true,1D4B75A0FE67110ACB18DDFF48607EAD8961BCA91311201A801D2D98125050E7,ing,yes
Fellowship,React Native,EDUCATION,73,5,32,6,1,6,0,false,false,true,false,true,2DE5BE776185D0F140E0C1625908990175A7221B0C0B583CCB9FA0B315AA8254,ing,yes
SFD Naz,React Native,EDUCATION,90,5,32,2,0,2,1,false,false,true,false,true,2AF57CCD21BB4A4BFEEA8E6DE0A2CCF1B7C71D3EBFB2C18633DF61B478B58EC4,ing,yes
Invasive Alien Species Europe,Ionic,EDUCATION,193,1,32,0,0,2,0,false,false,false,false,false,20AC31E182D7373316D11DB2055C62106DCF14B6086F0755E5F1D234AA5A3B74,ing,yes
KMCC,React Native,EDUCATION,97,6,33,9,20,7,20,true,true,true,true,true,3FDF335450790CD62F53FC270630D395FB42D0E4DFEDD8B3B9511A098D239840,ing,yes
Urgent,React Native,EDUCATION,85,3,33,6,15,4,6,true,true,true,true,true,1A39EC5310A6E0EFEBBEBAFBAFF3CBF69EE825B1E3EDFB50F50880B1C31DEDD4,ing,yes
TWUMC,React Native,EDUCATION,162,4,33,2,5,3,8,false,true,true,false,true,1E8954726DFBBB9B88AACAE9896DD45913ECFD03108BB9EE1A109102D806ECAA,ing,yes
Most High,React Native,LIFESTYLE,55,6,33,6,1,1,0,false,false,false,false,true,2E3ED9C0FFCCBC03C4F2CDB5F81925291D0B79F86AF31F68166F947B0408C4B7,ing,yes
Plant physiology,Ionic,BOOKS_AND_REFERENCE,109,1,34,0,0,0,0,false,false,false,false,false,1E0A7032FDDCEC545981A4DB527E08278D6319D2F79C1E205591B73BA010E494,ing,yes
TheBibleCh,React Native,EDUCATION,57,6,34,9,21,7,6,true,true,true,false,true,0B442368A1130C9C9F805B6F1FDE486E50187ABA920D74C9C4952882109D384D,ing,yes
HRF,React Native,LIFESTYLE,62,4,34,3,1,2,0,false,false,true,false,true,2B2CFD6CA4C1F88C87338AD02CBFE135B1B121307E1602A6C7A5F4626F715B48,ing,yes
Hydrology,Ionic,BOOKS_AND_REFERENCE,92,1,35,0,0,0,0,false,false,false,false,false,1B220ABC9FA81434B9D6D627AE5728ECF5031C99537528452AA6C16CF438F8D9,ing,yes
Oils,Ionic,BOOKS_AND_REFERENCE,109,1,35,0,0,0,0,false,false,false,false,false,4A9409965699AAE321B62CCD912B8FE8F373BD3F59987362B4FA5617FFB50993,ing,yes
Psychological concepts,Ionic,BOOKS_AND_REFERENCE,85,2,35,0,0,0,0,false,false,false,false,false,1C88480D21B2CD05D1DAB8E0CB02F749E6A5870B8557351B41AF8F6D10C78F34,ing,yes
The Bridge,React Native,EDUCATION,74,3,35,3,10,2,6,false,true,true,true,true,0A6220FA6F54F25D31CE64CEA6E244EB34CE68D298F5C6D50DB2C18911D1453D,ing,yes
Rock Creek,React Native,LIFESTYLE,53,6,36,9,16,4,15,true,true,true,false,true,1D8895ED0923007430E5F68A1D6862D33F8905F1F1436001682860D5B3ACC2D8,ing,yes
AKonnect,Ionic,LIFESTYLE,169,1,36,1,1,1,1,false,true,false,true,false,549ED512CF88FBB1B2EB3913FA57140964EE7ACC0046A169E97F8B3D18BF2487,ing,yes
King of Sparta,Ionic,BOOKS_AND_REFERENCE,101,1,37,0,0,2,2,false,false,false,false,false,1D05EEAA2154D9315D450248F5CF144A46352600E7B31579C0AE29541641E264,ing,yes
Linguistics,Ionic,BOOKS_AND_REFERENCE,85,2,37,0,3,0,0,false,false,false,false,true,0C67BCB6AC8F9F4FFCE18982A2D8C1A03C6FF7F6B42EC755F16E21AB1C5958DF,ing,yes
Upward,React Native,LIFESTYLE,123,3,37,7,17,4,13,true,true,true,true,true,3F5A8657D5D2C2071AF5BD86AE572105FA3A3F2F75E261EE01DF2AEADAF472F6,ing,yes
Philosophical terms,Ionic,BOOKS_AND_REFERENCE,124,1,39,0,0,0,0,false,false,false,false,false,1E1991813A840DB7CDBA83ADFA853B3AB7FF52CD263AD54D92EBB73B88BC8D0E,ing,yes
