Apps,Platform,Category,# Actions,# Activities,# Screens,Content labeling,Implementation,Touch target size,Low contrast,Unnecessary text,Not readable,Items have the same description,Items share same location,Text Scaling,APK Name,Language,Considered
OV Church,React Native,EDUCATION,63,5,43,13,25,6,16,true,true,true,true,true,1EC32884AA4AA3CFDC2795E2834136DAB5EB6AC3368C66D25F5A24770DDDBC09,ing,yes
Keith UMC,React Native,EDUCATION,183,6,43,2,8,3,11,false,true,true,false,true,1E9895D5DB0EBB70FC2E9971FBC804BFB6479C2F9BA3D9E5B5A2FD943D87E168,ing,yes
Cornerstone,React Native,LIFESTYLE,185,7,43,5,11,7,12,false,true,true,false,true,0FEA6ABE00F95FBBC851BE2B2D612EE29A53E56E73BA8AEC7DAD5AFB128E5D85,ing,yes
Sager Creek,React Native,BOOKS_AND_REFERENCE,115,4,43,9,22,6,10,true,true,true,true,true,C54A748098748C342E4B60FA36020629A582FBA4A4F76E0C75B95BE012A06A8C,ing,yes
FBC,React Native,EDUCATION,167,4,44,4,12,4,7,true,true,true,false,true,0AF8363E19FDC21E1F20DFAF14CB624B4DBF06AF9812B93541597CB7D3A26BAC,ing,yes
Cove Church,React Native,LIFESTYLE,97,6,44,5,8,3,10,false,true,true,false,true,0A218BAD524A2BB0A5D4A6D9C3A35AC9DF09D4230D0DA242EDF40209E296B861,ing,yes
Constance,React Native,EDUCATION,88,5,45,5,1,3,0,false,false,false,false,true,2A0818423771380B7602596067896D8120CC2371F59BBF055055878A572C85BA,ing,yes
Manna App,React Native,LIFESTYLE,174,6,45,2,8,2,22,false,true,false,false,true,1BE1101C5373E2CC18D21E1892D340E914C56E55838E7F92C933CA80A3367C61,ing,yes
NW Bible,React Native,LIFESTYLE,125,2,45,2,10,2,4,true,false,true,false,true,1AC8A8ACAB38E37AD4123517537EA90756715523A6645D031B04F52EC802A035,ing,yes
Portico,React Native,LIFESTYLE,84,6,45,3,0,2,0,false,false,true,false,true,2E1D6E5034DFA098C3F9C1F7FA5C74619663856FCEFDEEF4A24E2F0E0602BA4F,ing,yes
The Mesozoic,Ionic,BOOKS_AND_REFERENCE,98,2,46,0,3,0,0,false,false,false,false,true,1A35A4ED071DDAEF1A6E250540F19BB380B21AF97BB30887EC73A34694D184FC,ing,yes
Life Point,React Native,EDUCATION,153,6,46,4,11,3,13,true,true,true,false,true,1A6C57D18F65AD42BC50E30F4F6F6449E675C9AF1D7FF9862AE5CAE1E9BB4B46,ing,yes
Oasis City,React Native,LIFESTYLE,105,5,46,3,13,3,14,false,true,true,false,true,1A543160632A850FF1DDC4FD989ADA3FFFD12B0330D4778596643D010A603E39,ing,yes
NWSWI,React Native,LIFESTYLE,105,4,47,5,17,5,12,true,true,true,false,true,0B28DC5C984A32F58560105D4CE5F7DE69ABFEC00057890A9E9F1C01017A9C91,ing,yes
The Rock,React Native,LIFESTYLE,109,7,49,2,0,7,1,false,false,true,false,true,2BAB4BC32323BC7D76DDCA08925005C192BD49A4341D3D8D3401FA8CCED3089A,ing,yes
Antioch FL,React Native,LIFESTYLE,72,4,49,2,1,3,1,false,false,true,false,true,2CBF7F65870EFB0C3A1624A79F1575E24A0155A6BC0DAFBF9E0A42FACB651916,ing,yes
FBMaryville,React Native,EDUCATION,160,8,50,8,16,10,22,false,true,true,true,true,1AC22CF00C3775F59C458353A2FF49E6008F337D77A8EEB9E6F6D7220BF6B43A,ing,yes
Venture,React Native,LIFESTYLE,100,3,50,5,17,3,9,true,true,true,false,true,1E98814073A43FAD5B5983C8960D8858D3DB513317CD1E8BC10125F2C54B9578,ing,yes
ICCM,React Native,LIFESTYLE,94,8,50,4,0,3,0,false,false,true,false,true,2D3A47BFB00A4A83846DA3CF6CC8C223019B2A28F9CFA03E4023C2C850972002,ing,yes
Bible,React Native,EDUCATION,172,8,51,4,8,7,13,false,true,true,false,true,1C54CA938C72FDCB63A5F67B3DDC6CB46AEE7CCF97C05719FF14A3C296EA92AD,ing,yes
Bible,React Native,BOOKS_AND_REFERENCE,172,5,52,3,7,2,13,false,true,true,false,true,EDCF06CB821C9837852906416A52CC98A5C5CBFD9E50D697BE55915D6E415A9D,ing,yes
Life Church,React Native,EDUCATION,164,6,53,3,16,4,4,true,true,true,false,true,0A785BF948DDE10FDB90FC48781D76007D767E2537A4EC9C4952B906738F11CF,ing,yes
BSBL Church,React Native,LIFESTYLE,164,7,53,5,8,7,12,false,true,true,false,true,1A35A4ED071DDAEF1A6E250540F19BB380B21AF97BB30887EC73A34694D184FC,ing,yes
Immune System,Ionic,BOOKS_AND_REFERENCE,124,1,54,0,0,0,0,false,false,false,false,false,0CAD275A4448EA60BD3CBB1C621E17D4ECFB2FA21A3761579A1AD5C97A662C99,ing,yes
ARCC,React Native,LIFESTYLE,158,6,55,8,21,9,19,true,true,true,true,true,0C0ED0BD5DE6218F8DC6502E186E11624B97E1C521734BC966D85B7F89ACFEDF,ing,yes
KTT,React Native,EDUCATION,117,6,57,6,19,11,20,false,true,true,true,true,0FF445D9C13FD662F2D0EC71FFDEB4EE9458B96718BFE103430B4DDA7B5208D6,ing,yes
BP,React Native,EDUCATION,150,4,58,4,15,1,10,true,true,true,false,true,1D0D7F6FB55473440A51C2000AC978DE0CE6A8223848AD7DCB35ABCCAC4BE7FC,ing,yes
FBC Snyder,React Native,EDUCATION,129,5,59,8,18,8,10,false,true,true,false,true,0A16E4AC73D480366809720A6106768B5757027F4BFFFDFC8D6E1932D200FBB4,ing,yes
Kel Allah,React Native,EDUCATION,152,5,59,4,12,7,8,true,true,true,false,true,0A831AC56C73D81FE553C904AD1607ADEF198D3A9DD7CE72E01E99D5BF79AE22,ing,yes
TheRockKzoo,React Native,EDUCATION,179,8,61,9,21,7,16,true,true,true,true,true,1C7A667B1AF084F38719917895764C61FDDE889184949C960E0C229706E611E5,ing,yes
Centerpoint,React Native,EDUCATION,107,7,62,10,18,6,26,true,true,true,false,true,1E1BD062D74D7365B0108A17181DA0589C148672D379E630B3A6D4C6715F0C57,ing,yes
SeaCoast,React Native,LIFESTYLE,146,5,62,6,21,4,15,true,true,true,false,true,0A49F76A7DB023EAD2BBA17F5677B9CB417EA784D18A02B2DD19EFD26E958B34,ing,yes
BethelCburg,React Native,EDUCATION,189,7,63,8,19,4,13,true,true,true,false,true,1DADFBAC2CEA8FB2380C4EF5ABCFDF650E698680FBB906B844EE7DBAE73075E2,ing,yes
Anthem,React Native,LIFESTYLE,117,5,65,4,16,4,15,true,true,true,false,true,1B1FBD7F3AC1A5DC1BCF61F320B7A71F25689F67E3B8F5031C86EC83A4D8BF37,ing,yes
PHBC,React Native,LIFESTYLE,137,6,67,9,24,9,21,true,true,true,false,true,4AD0F0A2E04685195BE5590DFAD470448840B1D6BC95DB946D0944BE7164A8E1,ing,yes
Grace Bible,React Native,EDUCATION,118,5,68,5,12,2,14,true,true,true,false,true,4B150E5D9B0CC7729C4FA312C9DD91649C123996FC4C6A554F7DC58360F50DB6,ing,yes
Preston Trl,React Native,EDUCATION,149,6,69,9,19,7,15,true,true,true,false,true,1E96F85475BAE7E64B4BCD129AA5F51DBF2695CE10A7D32AC45B4A017C58AEFB,ing,yes
MIQLAT,React Native,LIFESTYLE,95,6,70,2,1,5,0,false,false,true,false,true,2A76B5AAD9C9B1416E87ED26864A33B627FF27BB9E0D2459131DFF3C371B5F54,ing,yes
WFYT,React Native,EDUCATION,176,5,73,6,16,4,23,false,true,true,true,true,0C1921643A30882B2D97C499C6076E799C6A39E510CC7B77F95BE4181496E078,ing,yes
微信读书,React Native,BOOKS_AND_REFERENCE,232,1,85,5,5,9,10,false,true,false,true,true,C0448B1E4EC1BF900A7C9F09A49B38E9117591B7B33CC3411718D4D33B120958,ing,yes
MHM,React Native,EDUCATION,187,8,89,8,20,5,8,false,true,false,false,true,4B7935DC79F030893C66BEB79710A7D4992BD5A4062A44536B4DAFB96B4434DB,ing,yes
GOSPEL ADV,React Native,EDUCATION,220,5,90,4,14,6,7,false,true,true,false,true,1B362DBBFB441E9F6E54219CB1B6343D742822EC39CF91C31698DB81966CEF0C,ing,yes
得到,React Native,BOOKS_AND_REFERENCE,206,6,104,26,87,34,58,true,true,true,true,true,1AC2B4F7A92B798CC9E5C6E451D07EFA5D79006C79EAFADA9D4D33FFF6EA7877,ing,yes
Weight Diet Tracker,Flutter,HEALTH_AND_FITNESS,165,1,110,1,0,0,0,false,true,false,false,false,888A9FFC9A2ECA43B42EC72886B646A1E81836F4B6B62484966BDAD04EE12AF6.apk,ing,yes
